# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.017453292519943,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
# Label	X/East	Y/North	Z/Altitude	Yaw	Pitch	Roll	Error (m)	X error	Y error	Z error	Error (deg)	Yaw error	Pitch error	Roll error	X est	Y est	Z est	Yaw est	Pitch est	Roll est
dji_0093.jpg	-73.625990	3.864225	54.700000				1.969542	-0.621558	-0.976371	1.593568					-73.625996	3.864217	56.293568	139.459840	90.000000	0.000000
dji_0094.jpg	-73.626024	3.864194	54.800000				1.564506	0.309000	-0.293591	1.505324					-73.626021	3.864191	56.305324	121.937001	90.000000	0.000000
dji_0095.jpg	-73.626028	3.864159	54.700000				1.527002	0.347047	-0.381878	1.437171					-73.626025	3.864155	56.137171	91.812340	90.000000	0.000000
dji_0096.jpg	-73.626014	3.864086	54.700000				1.522968	0.322827	0.479647	1.408955					-73.626011	3.864090	56.108955	39.734308	90.000000	0.000000
dji_0097.jpg	-73.625942	3.864152	65.099000				0.700325	-0.411255	-0.093312	0.559122					-73.625946	3.864151	65.658122	34.095134	2.063225	-0.004468
dji_0098.jpg	-73.625941	3.864152	65.000000				0.398263	-0.028164	-0.251267	0.307709					-73.625941	3.864149	65.307709	132.470916	-0.410582	2.483031
dji_0099.jpg	-73.625943	3.864150	65.000000				0.862268	0.351515	-0.698039	0.364259					-73.625940	3.864144	65.364259	209.724642	-1.618331	0.496860
dji_0100.jpg	-73.625944	3.864151	65.200000				0.521755	-0.418349	-0.185552	0.250564					-73.625948	3.864149	65.450564	312.025813	-0.348817	-0.309548
dji_0101.jpg	-73.625904	3.864128	64.900000				0.635226	-0.557452	-0.037535	0.302243					-73.625909	3.864127	65.202243	309.818958	1.182512	-1.237355
dji_0102.jpg	-73.625904	3.864129	65.000000				0.644436	-0.554834	-0.073740	0.319404					-73.625909	3.864128	65.319404	308.936100	16.698634	-1.131319
dji_0103.jpg	-73.625904	3.864129	62.100000				0.613589	-0.503027	-0.019247	0.350835					-73.625909	3.864128	62.450835	308.128687	16.752688	-1.088078
dji_0104.jpg	-73.625904	3.864128	59.000000				0.571248	-0.464902	0.021312	0.331265					-73.625908	3.864128	59.331265	307.326981	16.746586	-0.928218
dji_0105.jpg	-73.625876	3.864110	56.500000				0.822860	-0.710078	0.255000	0.328422					-73.625883	3.864113	56.828422	307.661388	16.674739	-0.970493
dji_0106.jpg	-73.625855	3.864097	56.100000				0.998670	-0.801608	0.277377	0.527095					-73.625862	3.864099	56.627095	307.028569	34.239232	-1.096457
dji_0107.jpg	-73.625856	3.864103	55.400000				0.881012	-0.760278	0.445079	-0.008124					-73.625863	3.864107	55.391876	298.872529	34.056854	-1.233898
dji_0108.jpg	-73.625855	3.864102	51.700000				0.751522	-0.729575	0.179669	-0.014973					-73.625862	3.864104	51.685027	297.743676	34.108473	-1.230085
dji_0109.jpg	-73.625857	3.864104	48.900000				1.437455	-1.006814	0.524412	0.881814					-73.625866	3.864108	49.781814	295.462121	43.127880	-1.249613
dji_0110.jpg	-73.625856	3.864104	47.300000				0.833994	-0.549535	0.232205	0.582786					-73.625861	3.864106	47.882786	299.794972	44.907630	-0.863220
